VETER15
menu_start_game_0|Добро пожаловать в Viking Conquest.
mno_continue_i|Далее...
menu_start_phase_2|{s1}
mno_continue|Далее...
mno_continue_cheat|Пропустить обучение.
mno_go_back_dot|Назад.
menu_start_game_3|Выберите сценарий:
mno_go_back|Назад
mno_leave|Уйти
mno_cattle_okc|Одну
mno_cattle_ok2c|Пять
mno_cattle_ok3c|Забудь
mno_enterod|Подойти
mno_enterod2|Похоже здесь кто-то есть. Проверить.
mno_choice_od|Лучше как следует подготовиться.
mno_encounter_savefarmod|Уйти
mno_continuewo|Матушка, сообщите своей хозяйке, что я прибуду в ближайшее время.
mno_continuewo2|Матушка, сообщите своей хозяйке, что мне нездоровится.
menu_garden|{s12}
menu_tutorial|Вы подходите к месту, где местные жители практикуются с оружием. Пожалуйста, можете тоже поучаствовать, чтобы улучшить ваши боевые навыки.
menu_reports|Известность: {reg5}^Уважение: {reg6}^Боевой дух отряда: {reg8}^Р Максимальный размер отряда: {reg7}^
mno_resume_travelling|Продолжить путь.
menu_start_phase_2x|Назад
menu_start_phase_22|{s1}
mno_town_4|Далее...
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|Бой окончен. {s1} ваш отряд уничтожил {reg5} врагов и потерял {reg6} бойцов. Вы лично поразили {reg7} человек.
menu_start_game_2|Добро пожаловать в Viking Conquest.
menu_start_game_1|Добро пожаловать в Viking Conquest.
menu_start_game_11|Уйти?
menu_start_game_4|Вам нужно сделать определенный выбор, который вы не сможете изменить, начав игру. Хотите продолжить?
mno_continue_1l|Напасть на убежище...
mno_trade_withbanditsl|Продать испорченное бандитам.
mno_leave_no_attackl|Уйти
mno_leave_victoryl|Продолжить...
mno_leave_defeatl|Продолжить...
mno_defendiendo_1bnde|Мы должны попробовать еще раз.
mno_choice_05_3notaxj|Скрыться от толпы, в сопровождении охраны.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Вы разбили лагерь. Что вы хотите предпринять?
mno_camp_action|Заняться делом
mno_camp_wait_here|Отдохнуть некоторое время
mno_camp_wait_hereho|Отдохнуть некоторое время
