str_yes|Да
str_no|Нет
str_blank_string|
str_noone|ни одного
str_s50_and_s51|{s50} и {s51}
str_s52_and_s51|{s50} и {s51}
str_s5_s_party|{s5}
str_given_by_s1_at_s2|Учитывая, через {s1} в {s2}
str_given_by_s1_in_wilderness|Учитывая, через {s1} пока
str_s7_raiders|{s7} Налетчики
str_bandits_eliminated_by_another|Бандиты были уничтожены другими.
str_msg_battle_won|ПОБЕДА! НАЖМИТЕ КЛАВИШУ TAB, ЧТОБЫ ВЫЙТИ...
str_tutorial_map1|Перед вами карта местности. Щелкните по нужной точке левой кнопкой мыши, чтобы переместить ваш отряд, войти в город или догнать выбранный отряд.^Когда вы не движетесь - чего-то ждете или отдыхаете - время на карте останавливается. Вы можете остановиться в любом месте, для этого нажмите и задержите клавишу Пробел.^Теперь самое время сохранить игру! Нажмите клавишу ESC и выберите «Сохранить как» или используют клавишу F12 для быстрого сохранения.^^Удачи!
str_tutorial_map11|Теперь у вас есть достаточно людей в отряде. Вернитесь к ярлу за дальнейшими указаниями.
str_randomize|Случайно
str_charge|Атака
str_color|Цвет
str_flip_horizontal|Перевернуть по горизонтали
str_flip_vertical|Перевернуть по вертикали
str_hold_fire|Не стрелять
str_blunt_hold_fire|Стой! / Не стрелять
str_tutorial_ammo_refilled|Боезапас пополнен.
str_tutorial_failed|В этот раз вы проиграли, но расстраиваться не стоит. Точно следуйте инструкциям, и в следующий раз все получится. Нажмите клавишу Tab, чтобы вернуться в меню и пройти обучение еще раз.
str_tutorialmq_1_msg_1|Давайте изучим основы движения, взаимодействия, и боя в Viking Conquest.^^Используйте мышь, чтобы осмотреться, и клавиши W, A, S, и D для перемещения вашего героя. Ваша первая задача... ^^Цель: доберитесь до центра корабля.
str_tutorialmq_1_msg_2|Прекрасно! Далее Вы изучите, как взаимодействовать с объектами и людьми. Рядом стоит человек по имени Бодо. Для того чтобы узнать имя персонажа подойдите к нему поближе, пока не появится его имя. Для разговора с Бодо, после того как Вы найдете его, нажмите клавишу F.^^В дальнейшем используйте F, чтобы поговорить с другими персонажами и для взаимодействия с объектами (двери, сундуки, поднять вещь и другое).^^Цель: поговорите с Бодо.
str_tutorialmq_1_msg_3|Превосходно! Далее изучим обращение с оружием. ^^Для смены оружия и убираниие/достование щита прокрутите колесо мыши или используйте клавиши Numpad 1, 2, 3, 4.^^Выбрав оружие, приготовьте его к атаке, нажмите и удерживайте левую кнопку мыши, затем отпустите. Если удерживать левую кнопку мыши на некоторое время, прежде чем отпустить, ваша атака будет более мощной.^^Цель: Поговорите с Ветераном, чтобы попрактиковаться в бою
str_tutorialmq_1_msg_4|Отлично! Теперь Вы изучили, что надо знать на начальном этапе игры Viking Conquest. Далее, можете продолжить свои исследования, разговаривая с персонажами, поучаствовать в учебном бою с моряком, и когда Вы будете готовы продолжить приключение, поговорите с капитаном.
str_finished|(Закончено)
str_delivered_damage|Нанесённый урон {reg60}
str_archery_target_hit|Дистанция: {reg61}. Очки: {reg60}
str_use_baggage_for_inventory|Во время боя вы можете брать вещи из сундука (он находится на начальной позиции около вашего знамени).
str_cant_use_inventory_now|Вещи сейчас недоступны.
str_cant_use_inventory_arena|На арене пользоваться вещами нельзя.
str_cant_use_inventory_disguised|Вы замаскированы и не можете пользоваться вещами.
str_cant_use_inventory_tutorial|В тренировочном лагере нельзя пользоваться инвентарем.
str_1_denar|1 пенни
str_reg1_denars|{reg1} пенни
str_january_reg1_reg2|Январь {reg1}, {reg2}
str_february_reg1_reg2|Февраль {reg1}, {reg2}
str_march_reg1_reg2|Март {reg1}, {reg2}
str_april_reg1_reg2|Апрель {reg1}, {reg2}
str_may_reg1_reg2|Май {reg1}, {reg2}
str_june_reg1_reg2|Июнь {reg1}, {reg2}
str_july_reg1_reg2|Июль {reg1}, {reg2}
str_august_reg1_reg2|Август {reg1}, {reg2}
str_september_reg1_reg2|Сентябрь {reg1}, {reg2}
