ip_armies_size|Размер армии
ip_armies_size_text|Размер вашей армии (как и армий лордов) зависит от нескольких факторов:^^Лидерство: каждое очко увеличивает максимальный размер вашей армии на 5. Спутники с навыками лидеров помогают увеличить размер вашего отрядом.^^Харизма: каждое очко увеличивает максимальный размер вашей армии на 1. Это талант - привлекать людей к вашему делу.^^Известность: каждые 9 очков увеличивают максимальную численность вашей армии на 1. Слава привлекает последователей.^^Владения: каждый город добавляет 80 чел. и каждый форт 40 чел. к максимальному размеру вашей армии. Эти пункты будут представлены людьми, которых вы можете нанять, когда объявлен национальный сбор ополчения (фирд).^^Помните, что размер отряда в море ограничен вместимостью корабля. Дополнительные войска всегда могут быть оставлены в гарнизоне поселения, в убежище игрока (строится один раз) или в военных лагерях (становищ, можно только два).
ip_morale|Боевой дух
ip_morale_text|Боевой дух - это способность и готовность членов отряда переносить трудности, подчиняться дисциплине и проявлять мужество в боях и походах. Это не тоже самое, что "удовлетворенность" отряда. Элитные воины могут ворчать и жаловаться на тяготы участия в кампании, но при этом встать плечом к плечу как один, когда засвистят стрелы над головой. С другой стороны, командир, выполняющий все пожелания подчиненных, может столкнуться с их неустойчивым поведением и отказом выполнять приказы в бою.^^Боевой дух - это основной фактор, определяющий поведение войск в сражении, их агрессивность и их готовность обратиться в бегство, если сражение будет складываться не в их пользу. Боевой дух также влияет на скорость передвижения отряда на карте, поскольку воины с меньшей мотивацией будут идти медленнее, не желая утруждать себя сверх меры, и отряду придется чаще останавливаться, поджидая отставших. Наконец, в отряде с очень низкой моралью будет расти количество дезертиров.^^Некоторые факторы, влияющие на боевой дух, понятны интуитивно. Например, харизматичный командир с высокой репутацией за выигранные сражения внушает уверенность и своим подчиненным. Командиры, которые снабжают своих солдат достаточным и разнообразным питанием и вовремя выплачивают им жалование, демонстрируют готовность заботиться о благополучии воинов и меньшую вероятность поставить своих людей в тяжелые условия.^^Другие факторы не столь очевидны - особенно связь боевого духа со сплоченностью отряда. Например, в небольшом дружном отряде воины будут упорно сражаться, даже имея спорные шансы на победу, чтобы не показать себя трусами перед товарищами по оружию. В больших отрядах, напротив, сплоченность ниже, так как у командира меньше времени, чтобы уделять внимание отдельным воинам: выслушивать их жалобы и решать споры. Частые сражения укрепляют связи между воинами, тогда как длительные периоды бездействия заставляют их скучать и провоцируют ссоры.^^Нажав на кнопку 'Информация об отряде' в окне 'Персонаж', вы можете просмотреть данные о боевом духе вашего отряда и узнать, какие факторы на него влияют.
ip_economy|Экономика
ip_economy_text|Населению городов и деревень Северных земель для повседневной жизни требуются самые разнообразные товары. Прежде всего, это пища. Основной с/х культурой здесь является зерно, но людям также нужны жиры и белки в виде мяса, рыбы и сыра. Для того чтобы сохранить мясо, требуется почти столько же усилий, сколько и для его производства, так что спрос на соль также весьма высок. После пищи идет одежда: плотная шерсть, более легкий лен или роскошный бархат. Наконец, людям нужны инструменты и снаряжение: скобяные товары, гончарные и шорные изделия и, конечно же, оружие, доспехи и боевые лошади.^^Основная часть с/х продукции производится в деревнях, тогда как городские мастера специализируются на производстве промышленных или кустарных товаров: таких как ткань или изделия из железа. Кроме этого, в разных частях страны встречаются разные ресурсы. Следовательно, ключ к процветанию в Северных землях - это торговля, как между деревней и городом, так и между крупными городами.^^Когда торговые связи налажены, товары имеются в наличии и доступны по цене, население поселения будет здоровым и энергичным, и будут прибывать переселенцы из соседних регионов. Поселение будет больше производить, больше потреблять и будет в состоянии платить больше налогов своему лорду. Когда же торговля приходит в упадок, население городов и деревень уезжает на заработки в другие места, а экономическая активность заходит в тупик. Таким образом, правители заинтересованы в защите торговых путей от опасностей войн и бандитизма. Но расчетливого торговца зачастую привлекают отдельные изолированные поселения, поскольку он может получить хороший доход, воспользовавшись повышенным спросом и разницей в ценах.^^Поскольку деревенские жители обычно продают свои товары в городах, деревенские рынки довольно немноголюдны, здесь покупают дешево и дорого продают. Серьезные купцы отправляются за прибылью в город, хотя некоторые отряды сочтут полезным сделать короткую остановку в деревне, чтобы пополнить необходимые запасы.^^Если игрок захочет узнать о том, какие факторы оказывают влияние на благосостояние региона, ему нужно поговорить с цеховым мастером местного города. Другие сведения можно узнать у прохожих, хотя они не всегда знают то, что не касается их непосредственной сферы деятельности.
ip_courtship|Ухаживание
ip_courtship_text|Вы можете породниться с каким-нибудь влиятельным семейством Северных земель. Для достижения власти и высокого положения в обществе брак вовсе не обязателен, хотя он дает возможность улучшить свои отношения с лордами и выдвинуть притязания на трон.^^Требования для вступления в брак для персонажей разного пола различны. Мужскому персонажу, как правило, придется пойти традиционным путем сватовства. Он должен заслужить себе репутацию в аристократическом обществе, установить хорошие отношения с родителями или опекунами невесты, а затем ухаживать за дамой согласно местным обычаям. Если вам это надоест, вы можете попытаться ускорить процесс - но это будет иметь последствия в отношениях с другими лордами.^^Играя за мужского персонажа не забывайте о том, что другие лорды будут соперничать с ним за влияние на дам королевства. Кроме того, вкусы дамы непредсказуемы, и вполне может оказаться так, что избранница не ответит вам взаимностью. Романтика в Северных землях, как и везде, не обязательно означает прямой путь к успеху. Конечно, вы можете прибегнуть к менее благородным способам завоевания сердца дамы, но, опять-таки, это нанесет серьезный удар по вашей репутации.^^Чтобы начать ухаживать за дамой, вам придется принять участие в светской жизни аристократии Северных земель, посещая праздники и турниры. Странствующие трубадуры и поэты также могут служить ценным источником сведений об ухаживании, а заодно и пересказывать последние слухи.^^Женские персонажи могут выходить замуж, но следует иметь в виду, что общество Северных земель - очень консервативно, и, играя в качестве искательниц приключений, они выбирают чрезвычайно нетрадиционную стезю для женщины. Женскому персонажу придется подыскивать себе лорда с довольно непредвзятыми взглядами, позволяющими ему жениться на ней.^^С другой стороны, женскому персонажу не нужно следовать замысловатому ритуалу ухаживания, да и из самого брака женщина может извлечь гораздо больше выгоды. Для искательницы приключений брак может стать самым быстрым путем к власти, и беспринципный женский персонаж может при помощи мужа осуществлять свои политические амбиции.
ip_politics|Политика
ip_politics_text|ВНИМАНИЕ! Если вы видете не весь текст, откройте, что бы прочесть его полностью, файл расположен тут:^(C\D\E\...)\Игра\Modules\Viking Conquest\languages\info_pages.^Несмотря на то, что государства Северных земель различаются по своей культуре, они все используют базовую политическую систему, которая предшествовала феодализму. На вершине германской социальной иерархии был король, избранный советом знати из представителей королевского дома. Все земли в государстве принадлежат королю, который распределяет их среди знати и особо отличившихся воинов. Однако эта земля не становились их собственностью и в случае смерти короля или вассала возвращались правителю. Дворянство управляло каждым графством от имени короля, будучи ответственным за исполнительную власть и суд, а также рекрутируя и ведя солдат на войну. Для этой цели дворяне делили свою землю на меньшие участки среди полноправных граждан, которые являлись основой сельского хозяйства в королевстве. Эти фермеры и домовладельцы платили ренту своему сюзерену и/или выполняли определенные обязанности для него: такие как строительство укреплений или работа на сюзерена в период жатвы в течении нескольких дней в неделю.^^Такая система зависимых отношений практиковалась и между дворянами, создавая иерархии вассалитета и политической поддержки. Все больше и больше крупных монастырей становились независимыми церковными учреждениями со своими собственными землями и клиентурой.^^Характерной чертой кельтских обществ (гэльских, валлийских и пиктских) было придание важности общей родовой группе - клану. Большая группа родственно связанных людей, предположительно ведущими род от одного общего прародителя, действовала как независимая социальная и узаконенная общность.^^Когда в Северных землях государства воюют между собой, то политическое единство в королевстве также важно для успешного исхода войны, как и количество и опыт его солдат. В сплоченном государстве представители знати выступают против врага единым фронтом. В государстве, раздираемом мелкими склоками, лорды нехотя отвечают на призывы маршала или пытаются уклониться от своих обязанностей, если кампания проходит не очень удачно. Политическая сплоченность фракции влияет и на военные действия вне кампаний. В разобщенном государстве лорды не так охотно объединяются для набегов и патрулей, и не спешат прийти друг другу на помощь.^^Если кажется, что лорды действуют только себе во вред, ссорясь между собой, когда на горизонте видны вражеские войска, не забывайте о том, что главная цель каждого дворянина - его личная выгода и благосостояние его семьи, а не благосостояние государства. Если лорд видит, что государство трещит по швам, или если его сюзерен не обращает внимания на его требования, то он обычно отказывается от клятвы верности и переходит на другую сторону. Помните, что вы можете воспользоваться недовольством своих бывших врагов, превратив их в своих союзников.
ip_character_backgrounds|Биография персонажа
