qst_deliver_message|Доставить сообщение для {s13}
qst_deliver_message_text|{s9} попросил доставить сообщение для {s13}. {s13} был в {s4}, когда вы получили это задание.
qst_deliver_message_to_enemy_lord|Доставить сообщение для {s13}
qst_deliver_message_to_enemy_lord_text|{s9} попросил доставить сообщение для {s13} из {s15}. {s13} был в {s4}, когда вы получили это задание.
qst_raise_troops|Обучить {reg1} человек до {s14}
qst_raise_troops_text|{s9} попросил обучить {reg1} человек до {s14} и привести к нему.
qst_escort_lady|Сопроводить {s13} до {s14}
qst_deal_with_bandits_at_lords_village|Спасти деревню {s15} от разграбления бандитами
qst_deal_with_bandits_at_lords_village_text|{s13} попросил разобраться с бандитами, которые укрываются в его деревне {s15}, и доложить ему.
qst_collect_taxes|Собрать налоги с {s3}
qst_collect_taxes_text|{s9} попросил собрать налоги с {s3}. Он пообещал отдать вам пятую часть от собранной суммы.
qst_hunt_down_fugitive|Выследить {s4}
qst_hunt_down_fugitive_text|{s9} попросил выследить беглеца по имени {s4}. Сейчас он должен быть в {s3}.
qst_kill_local_merchant|Убить местного торговца в {s3}
qst_kill_local_merchant_text|{s9} попросил убить местного торговца в {s3}.
qst_bring_back_runaway_serfs|Вернуть беглых рабов
qst_bring_back_runaway_serfs_text|{s9} попросил вернуть три группы беглых рабов в {s2}. Он сказал, что они направляются в {s3}.
qst_follow_spy|Проследить за шпионом
qst_follow_spy_text|{s11} попросил проследовать за шпионом, который отправится из {s12}. Нужно быть осторожней во время преследования — шпион не должен вас обнаружить, иначе он может что-то заподозрить и вернуться. А после того, как шпион встретится со своим нанимателем, организуйте засаду, захватите их обоих и доставьте в {s11}.
qst_capture_enemy_hero|Пленить лорда из {s13}
qst_lend_companion|Одолжить спутника {s3} для {s9}
qst_lend_companion_text|{s9} попросил одолжить {s3} ему на неделю.
qst_collect_debt|Взыскать долг с {s3} для {s9}
qst_collect_debt_text|{s9} попросил взыскать причитающийся ему долг в {reg4} пенни с {s3}.
qst_incriminate_loyal_commander|Обвинить верного командующего {s13}, {s16} 
qst_meet_spy_in_enemy_town|Встретиться со шпионом в {s13}
qst_capture_prisoners|Захватить {reg1} пленных {s3} 
qst_capture_prisoners_text|{s9} желает, чтобы вы привели к нему {reg1} пленных {s3}.
qst_lend_surgeon|Одолжить лекаря {s3} для {s1}
qst_lend_surgeon_text|Одолжите опытного спутника-лекаря {s3} для {s1}.
qst_follow_army|Следовать за армией {s9}
qst_report_to_army|Явиться к маршалу {s13}
qst_deliver_cattle_to_army|Доставить {reg3} скота для {s13}
qst_join_siege_with_army|Принять участие в осаде {s14}
qst_screen_army|Прикрыть наступление армии {s13}
qst_scout_waypoints|Провести разведку около {s13}, {s14} и {s15}
qst_rescue_lord_by_replace|Спасти {s13} из {s14}
qst_deliver_message_to_prisoner_lord|Доставить сообщение для {s13} в {s14}
qst_duel_for_lady|Вызать на дуэль {s13}
qst_duel_courtship_rival|Вызать на дуэль {s13} (необязательно)
qst_duel_avenge_insult|Вызать на дуэль {s13}
qst_move_cattle_herd|Перегнать скот в {s13}
qst_move_cattle_herd_text|Гильдмастер {s10} попросил перегнать стадо в {s13}.
qst_escort_merchant_caravan|Сопроводить торговый караван до {s8}
qst_escort_merchant_caravan_text|Сопроводите торговый караван в город {s8}.
qst_deliver_wine|Доставить {reg5} шт. {s6} в {s4}
qst_deliver_wine_text|{s9} из {s3} попросил доставить {reg5} шт. {s6} в медовый зал {s4} в течении 7 дней.
qst_troublesome_bandits|Выследить досаждающих бандитов
qst_troublesome_bandits_text|{s9} из {s4} попросил выследить досаждающих бандитов в окрестностях города.
qst_kidnapped_girl|Выкупить девушку у бандитов
qst_kidnapped_girl_text|Гильдмастер {s4} дал вам {reg12} пенни, чтобы выкупить девушку, похищенную бандитами. Вы должны встретиться с похитителями около {s3} и отдать им выкуп, вернув девушку в {s4}.
qst_persuade_lords_to_make_peace|Помочь заключить мир
qst_persuade_lords_to_make_peace_text|Гильдмастер {s4} обещал вам {reg12} пенни, если вы сделает так, чтобы {s12} и {s13} более не препятствовали мирному соглашению между {s15} и {s14}. Вы должны или убедить их, или пленить и удерживать до заключения мирного соглашения.
qst_deal_with_looters|Разобраться с грабителями
qst_deal_with_looters_text|Гильдмастер {s4} попросил разобраться с несколькими бандами грабителей возле {s4} и вернуть любые товары, которые сумеете отбить.
qst_deal_with_night_bandits|Разобраться с ночными бандитами
qst_deliver_grain|Доставить пшеницу в {s3}
qst_deliver_grain_text|Староста деревни {s3} попросил привезти {reg5} мешков пшеницы.
qst_deliver_cattle|Доставить {reg5} голов скота в {s3}
qst_deliver_cattle_text|Староста деревни {s3} попросил привести {reg5} голов скота.
qst_train_peasants_against_bandits|Научить крестьян из {s13} сражаться с бандитами.
qst_eliminate_bandits_infesting_village|Спасти деревню {s7} от разграбления бандитами
qst_eliminate_bandits_infesting_village_text|Крестьянин из {s7} попросил спасти его деревню от бандитов, которые там укрываются.
qst_visit_lady|Посетить даму
qst_formal_marriage_proposal|Сделать официальное предложение о браке
qst_obtain_liege_blessing|Сделать официальное предложение о браке
qst_wed_betrothed|Сыграть свадьбу
qst_wed_betrothed_female|Сыграть свадьбу
qst_join_faction|Присягнуть {s1}
qst_join_faction_text|{s1} ждет вашей клятвы верности.
qst_rebel_against_kingdom|Помочь {s13} занять трон {s14}
qst_consult_with_minister|Посоветоваться с министром
qst_consult_with_minister_text|Посоветуйтесь с вашим министром {s11}. Сейчас он находится в {s12}.
qst_organize_feast|Устроить праздник
qst_organize_feast_text|Доставить товары для торжества {reg59?вашему мужу:вашей жене}, {s11} в данный момент находится в {s12}.
qst_resolve_dispute|Уладить разногласия
qst_resolve_dispute_text|Уладить разногласия между {s11} и {s12}.
qst_offer_gift|Доставить дар
qst_offer_gift_text|Сделайте {s10} дар для того, чтобы обеспечить {reg4?ее:его} {s11}, {s12}.
qst_denounce_lord|Обвинить лорда
qst_denounce_lord_text|Публично обвините {s11}.
