ui_texture_detail|Детализация текстур:
ui_texture_detail2|Детализация текстур:
ui_max_frame_rate|Макс. частота кадров:
ui_enable_bumpmap|Вкл. рельефные текстуры (Bump Mapping)
ui_disable_blood|Скрыть кровь
ui_disable_music|Отключить музыку
ui_disable_sound|Отключить звук
ui_enable_cheats|Разрешить читы
ui_enable_edit_mode|Включить режим редактирования (замедлит игру)
ui_enable_pixel_shaders|Использовать пиксельные шейдеры
ui_enable_sound_variation|Вкл. рассеивание звука (Sound Variation)
ui_enable_vertex_shaders|Рендеринг:
ui_shadow_quality|Качество теней:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Показывать частоту кадров
ui_start_windowed|Запускать в окне
ui_trialmode_caption|Активация
ui_trialmode|Для активации игры необходимо ввести цифровой ключ. Ваш личный 16-значный ключ находится на коробке с игрой или может быть получен при online-покупке .Если вы по какой-либо причине не желаете активировать игру сейчас, то можете продолжить играть в ознакомительном режиме, однако ваш персонаж не сможет пройти дальше 7-го уровня.
ui_launch_buy|Купить лицензионный ключ на TaleWorlds.com
ui_launch_faq|Открыть FAQ по активации
ui_trialmode2|Чтобы активировать игру...
ui_trialmode3|Вы также можете...
ui_trialmode4|Если у Вас остались вопросы по активации, то прочитайте...
ui_serial_key_caption|Серийный номер
ui_notification_serial_input|Введите личный серийный ключ и нажмите Активировать
ui_activate|Активировать
ui_paste|Вставить
ui_notification_serial_internet_connection|Активация требует наличия активного подключения к Интернет!
ui_notification_serial_offline|Если компьютер не имеет доступа в Интернет, используйте ручную активацию:
ui_manual_activation|Вручную
ui_offline_activation|Offline Activation
ui_manual_activation_caption|Вручную
ui_offline_activation_caption|Offline Activation
ui_cancel2|Отмена
ui_close|Закрыть
ui_ok2|OK
ui_activation_successful|Активация прошла успешно.
ui_activation_successful2|Пожалуйста, сохраните свой серийный ключ для дальнейшего использования. Возможно, он понадобится в будущем, если вы захотите установить Mount&&Blade Warband на новом компьютере.
ui_activation_denied|В активации отказано!
ui_notification_serial_already_used|Серийный ключ уже используется для другого компьютера. Вам придется подождать несколько недель для его переактивации на этом компьютере.
ui_notification_unable_to_connect_to_activation_server|Не удалось соединиться с сервером активации!
ui_notification_unable_to_connect_to_activation_server2|Убедитесь, что Ваше интернт-соединение активно и повторите попытку. При использовании сетевых экранов необходимо разрешить игре доступ в интернет. Если это не помогло, то используйте ручную активацию.
ui_incorrect_serial_number|Неверный серийный номер!
ui_incorrect_hardware_hash|Неверный аппаратный хэш!
ui_incorrect_activation_code|Неверный код активации!
ui_cant_write_to_registry|Не удалось произвести запись в Реестр!
ui_video|Видео
ui_audio|Звук
ui_game|Игра
ui_advanced|Прочее
ui_mount_and_blade_is_ready|Mount&Blade Warband готов к работе.
ui_notification_trial_mode|В настоящий момент Mount&Blade Warband работает в ознакомительном режиме. В этом режиме Вы можете свободно играть до достижения персонажем 7 уровня. Для продолжения игры необходимо приобрести лицензию от TaleWorlds.com. Приобретение лицензии online займет несколько минут и откроет полный режим.
ui_there_are_no_modules_installed|Отсутствуют модули!
