ui_texture_detail|Детализация текстур:
ui_max_frame_rate|Ограничение FPS:
ui_enable_bumpmap|Bump Mapping
ui_disable_blood|Скрыть кровь
ui_disable_music|Отключить музыку
ui_disable_sound|Отключить звук
ui_enable_cheats|Включить чит-коды
ui_enable_edit_mode|Режим редактирования (замедлит игру)
ui_enable_pixel_shaders|Пиксельные шейдеры
ui_enable_sound_variation|Варьирование звука
ui_enable_vertex_shaders|Рендер:
ui_shadow_quality|Качество теней:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Показывать FPS
ui_start_windowed|Запускать в окне
ui_trialmode_caption|Активация
ui_trialmode|Выполните активацию Mount&&Blade с помощью серийного номера. Ваш личный 16-значный серийный номер содержится внутри коробки с игрой или может быть получен при online-покупке.
Если вы не желаете активировать игру сейчас, то можете продолжить играть в демо-режиме до достижения вашим персонажем 8 уровня.
ui_launch_buy|Купить лицензию на TaleWorlds.com
ui_launch_faq|Открыть FAQ по активации
ui_trialmode2|Чтобы активировать игру...
ui_trialmode3|Вы также можете...
ui_trialmode4|Если у вас есть вопрос по активации, можете прочитать...
ui_serial_key_caption|Серийный номер
ui_notification_serial_input|Введите или вставьте серийный номер ниже и нажмите "Активировать"
ui_notification_serial_input_vc|Этому модулю необходим ключ от Viking Conquest. Введите ваш ключ от Viking Conquest ниже (вы можете скопировать и вставить его), и затем нажмите 'активировать'.
ui_activate|Активировать
ui_paste|Вставить
ui_notification_serial_internet_connection|Активация требует наличия действующего интернет соединения!
ui_notification_serial_offline|Если этот компьютер не имеет доступа в интернет, вы также можете использовать:
ui_manual_activation|Ручная активация
ui_offline_activation|Оффлайн активация
ui_manual_activation_caption|Ручная активация
ui_offline_activation_caption|Оффлайн активация
ui_cancel2|Выйти
ui_close|Закрыть
ui_ok2|OK
ui_activation_successful|Активация прошла успешно.
ui_activation_successful2|Пожалуйста, сохраните ваш серийный номер. Он еще может понадобиться в будущем, если вы захотите установить Mount&&Blade на новом компьютере.
ui_activation_denied|В активации отказано!
ui_notification_serial_already_used|Серийный номер уже используется на другом компьютере. Вам придется подождать несколько недель для его активации на этом компьютере.
ui_notification_unable_to_connect_to_activation_server|Не удалось соединиться с сервером активации!
ui_notification_unable_to_connect_to_activation_server2|Убедитесь, что ваше интернет-соединение включено и попробуйте снова. Если вы используете брандмауэр, то необходимо разрешить игре доступ в интернет. Если это не помогло, воспользуйтесь ручной активацией.
ui_incorrect_serial_number|Неверный серийный номер!
ui_incorrect_hardware_hash|Неверный аппаратный хэш!
ui_incorrect_activation_code|Неверный код активации!
ui_cant_write_to_registry|Не удалось записать в реестр!
ui_video|Видео
ui_audio|Звук
ui_game|Игра
ui_advanced|Прочее
ui_mount_and_blade_is_ready|Mount&Blade Warband готов.
ui_notification_trial_mode|Mount&Blade Warband запущен в пробном режиме. В этом режиме можно играть, пока персонаж не достигнет шестого уровня. Для продолжения будет необходимо приобрести лицензию на сайте taleworlds.com.
ui_there_are_no_modules_installed|Нет установленных модулей!
ui_notification_new_version|Доступна новая версия Mount&Blade Warband.
Текущая версия %d.%d%d%d.
Последняя версия Mount&Blade Warband %d.%d%d%d.
Вы можете загрузить новую версию с сайта www.taleworlds.com.
ui_new_version_found|Обнаружена новая версия!
ui_notification_unable_to_retreive_new_version|Не удалось получить информацию про обновления игры. Повторите попытку позже.
ui_new_version|Новая версия:
ui_notification_latest_version|У вас последняя версия игры.
ui_mount_and_blade_is_up_to_date|Mount&Blade Warband обновлен.
ui_off|Выкл.
ui_continue_playing_the_trial_mode|Продолжить играть в пробном режиме
ui_faq_caption|FAQ
ui_faq_text|"В: Что такое активация?r
О: Это метод защиты от копирования, основанный на распространении уникального серийного номера вместе с каждой копией игры. Вам нужно активировать игру серийным номером на каждом компьютере, на котором вы будете играть в игру. После активации вам не нужно делать что-то еще, чтобы играть, например, держать диск игры в дисководе. Вы можете активировать игру даже спустя многие годы, пока храните серийный номер.r
r
В: Где найти серийный номер?r
О: Каждая коробочная копия игры содержит серийный номер. Разные продавцы могут по-разному распространять номера, но обычно он находится внутри коробки с игрой. Если вы приобрели игру в интернете, тогда онлайн-продавец должен предоставить вам серийный номер.r
r
В: Как происходит процесс активации?r
О: Игра присвивает хэш-код компьютеру и передает его на сервер активации через интернет вместе с вашим серийным номером. Сервер активации регистрирует полученную информаци и обратно отправляет активационный номер, который открывает полный режим игры.r
r
В: Могу ли я активировать игру на нескольких компьютерах?r
О: Да, можете. Но учтите, что зарегистрированная игра лишь для вашего личного пользования. Сервер активации может временно отклонять серийный номер, если он использован на многих компьютерах за короткий период времени. r
r
В: Программа зависает, когда я нажимаю на кнопку активации.r
О: Будьте терпеливы, процесс активации занимает некоторое время, в итоге игра сообщит результат.r
r
В: Мой компьютер не имеет доступа в интернет. Как мне активировать игру?r
О: Используйте ручную активацию. Нажмите "Ввести серийный номер", а затем "Ручная активация". Но вам по-прежнему потребуется доступ в интернет, однако выполнить активации можно будет с другого компьютера.r
"
ui_auto_adjust|Автонастройка
ui_screen_size|Разрешение экрана:
ui_antialiasing|Сглаживание:
ui_use_desktop_resolution|Как у рабочего стола
ui_play|Играть
ui_check_for_new_version|Проверить обновления
ui_configure|Настройки
ui_configure_caption|
ui_mountandblade_website|Сайт игры
ui_current_setting|Текущий модуль:
ui_manual_activation_text1|1) Перейдите по следующему в браузере адресу:
ui_manual_activation_text2|2) На открывшейся странице введите серийный номер...
ui_manual_activation_text3|3) ...и этот аппаратный хэш:
ui_manual_activation_text4|4) Страница выдаст вам код активации. Введите или вставьте его и нажмите "OK".
ui_activation_code|Код активации:
ui_force_vsync|Вертикальная синхронизация
ui_module_newer_than_application|Для выбранного модуля требуется более новая версия игры.
ui_module_older_than_application|Для выбранного модуля требуется более старая версия игры.
ui_m_low|Низкое
ui_m_high|Высокое
ui_m_ultra_high|Очень высокое
ui_force_single_threading|Включить однопоточный режим
ui_not_enough_memory|Доступно %d Мб свободной физической и виртуальной памяти. Для беспроблемной работы Mount&Blade Warband требуется же как минимум 700 Мб. Если во время работы Mount&Blade Warband будут наблюдаться падения игры, закройте другие программы перед запуском или увеличьте размер файла подкачки в Windows.
ui_install|Установить Mount&Blade Warband
DirectXText|"Для запуска Mount&Blade Warband требуется DirectX 9.0c или выше. Попробуйте установить последнюю версию DirectX с сайта Microsoft. Желаете перейти на страницу загрузки DirectX?"
NoMountAndBladeText|"Mount&Blade Warband не установлен на этом компьютере. Пожалуйста, скачайте установщик игры с сайта www.taleworlds.com ."
ui_SavegamesText|"Оставить файлы сохранений?"
ui_trialmode_online|Сейчас Mount&&Blade работает в демо-режиме. Вы можете играть до достижения персонажем 7 уровня. Если вы уже приобрели игру, то введите свой серийный номер. Приобретение лицензии онлайн занимает несколько минут и открывает полный режим.
ui_launch_activate|Ввести серийный номер
ui_trialmode2_online|После приобретения лицензии вы получите серийный номер.
Приступить к открытию полного режима...
ui_trialmode3_online|Или, если не хотите приобретать игру, можете...
ui_trialmode4_online|Если вам хочется узнать больше о нашей политике продаж, то взгляните на:
ui_ondemand_textures|Загрузка текстур по требованию
ui_language|Язык:
ui_steam_not_running|Steam не может быть инициализирован. Steam должен работать, чтобы запустить игру.
ui_switch_to_turkish_explanation|Хотите ли вы перевод игры на турецкий язык?
ui_switch_to_turkish_yes|Да
ui_switch_to_turkish_no|Нет
ui_new_version_message|Доступна новая версия игры. Посетить страницу загрузки сейчас?
ui_enable_version_check|Включить проверку обновлений
ui_disable|Выключить
ui_yes2|Да
ui_no2|Нет
ui_new_version_message2|Доступна новая версия игры. Посетите онлайн-портал, на котором вы приобрели игру, чтобы скачать новую версию.
